horizon_bucket,n,wmape,rmse,bias,model_name
1-7,131,0.20667903262034662,787.9793582665719,0.02353676535158855,seasonal_naive_weekly
8-14,133,0.2060570862448848,723.2445144437139,0.01341385966040276,seasonal_naive_weekly
15-30,297,0.23527740355073704,872.3467130984709,0.007665563873115788,seasonal_naive_weekly
31-90,959,0.2839257736743012,999.1557837576837,0.03785714730963807,seasonal_naive_weekly
91-380,1346,0.3128107369248128,1032.1729829283315,0.1081244193364237,seasonal_naive_weekly
1-7,131,0.2147812889849129,803.1554608448625,-0.017555332374858734,weekday_rolling_median
8-14,133,0.1956885172510592,709.3378529695501,-0.02825180997562049,weekday_rolling_median
15-30,297,0.2378734906686426,865.7936239833965,-0.03123613217676846,weekday_rolling_median
31-90,959,0.29757456212094435,1000.9442130418538,-0.013403825375522871,weekday_rolling_median
91-380,1346,0.2631018153337297,901.923087336919,-0.01887917154246066,weekday_rolling_median
