week_start,p50,p80,p90
2025-12-29,13051.681001652736,14495.939354142574,15232.05613811032
2026-01-05,13384.58295755625,15020.25677251141,15747.046056373858
2026-01-12,9482.344616747421,13010.523970199625,13937.84280895792
2026-01-19,12114.945595744746,15960.422470279442,16865.869640797384
2026-01-26,14390.352806525507,17925.731971414614,18710.46301249428
2026-02-02,13813.288674236246,17820.950384824526,18367.99015368839
2026-02-09,15311.856775749462,18485.283498637273,19541.411795078024
2026-02-16,15583.18845952583,18744.845183519505,19387.872131040618
2026-02-23,15019.146473542289,17957.193352093433,18992.974152285395
2026-03-02,14931.560570044856,17954.85387648052,19188.181102166578
2026-03-09,16962.889987076363,19126.73684056079,20260.003296990904
2026-03-16,16652.831874006835,19139.271935145356,20567.235415223062
2026-03-23,13671.266689018506,16146.509794064457,17497.626845274288
2026-03-30,11938.63150256398,13743.93879207737,14842.411201692343
2026-04-06,14327.341443966956,16255.102918216788,17654.506720940502
2026-04-13,16743.20586290079,18759.389499855748,20017.205579985082
2026-04-20,16604.035326480687,17853.513179403813,18867.587288701194
2026-04-27,15491.743766788764,16446.734825383377,17460.80813110575
2026-05-04,13883.568514096003,16205.595273692037,17503.61519701074
2026-05-11,15323.960029677664,15987.554725444425,17687.545708998936
2026-05-18,15912.124909244285,17131.259061124485,18506.195771733113
2026-05-25,20333.895588045278,22012.18616439496,22910.904132471856
2026-06-01,18110.872021166935,19820.765267605035,21068.68571627712
2026-06-08,16983.2485963089,19295.375470486542,20897.95545461749
2026-06-15,18244.630497787344,20013.065467848275,21317.131585614505
2026-06-22,17819.58538051756,19886.956529834293,20893.861320763397
2026-06-29,18500.573211034658,20033.522704601543,20757.790539257625
2026-07-06,21762.197903280427,23824.72266721193,23975.599859741607
2026-07-13,22888.848780483746,24445.516787312827,24602.705156130385
2026-07-20,21955.39045278463,23173.41645379058,23670.729427413065
2026-07-27,21497.81226523618,23555.86391150879,23895.338894630695
2026-08-03,21596.48408780939,22150.040019569922,22408.014389401156
2026-08-10,19756.095305347997,20901.607074223466,21127.107659664398
2026-08-17,18559.190789621607,19602.730530317844,20171.425537323637
2026-08-24,14648.074893028936,16404.256699623387,17478.8073949833
2026-08-31,14628.436445302099,15664.806016630315,16901.243156146687
2026-09-07,15872.36140494024,17234.160177449663,17977.395804662294
2026-09-14,15248.264681091046,16226.400510925318,17196.973313143695
2026-09-21,14726.350692870707,15697.198301457196,16605.130860246307
2026-09-28,15838.347720828893,16331.696713230847,17060.283942008322
2026-10-05,15269.334408852465,15984.506303496211,16806.017837858173
2026-10-12,15283.720763526413,15798.515139120478,16721.206574299995
2026-10-19,14223.535602106138,15002.618305855183,15418.53447041859
2026-10-26,13305.139261883327,14116.755424466737,14916.424299601238
2026-11-02,14175.027244438104,14809.963698042944,15131.788601652757
2026-11-09,13004.576037964209,13569.955405734729,14112.26179729662
2026-11-16,13051.437774525282,14181.740042538244,15232.125795216381
2026-11-23,17741.150266630106,18962.82609942667,19195.996923796298
2026-11-30,13060.508798960778,13813.206121196068,14434.702851731736
2026-12-07,12482.30683828797,13342.005375374667,14986.442274081906
2026-12-14,13978.391168626393,14753.969387576706,15546.59484948508
2026-12-21,16896.555330311065,17858.64326274966,18073.635865023476
2026-12-28,12169.668000319602,16710.001993884485,16710.001993884485
