spike_flag,uplift_multiplier,confidence,n_obs,baseline_method
is_black_friday,1.690208979118424,low,2,dow_month
is_thanksgiving_day,1.0,insufficient,0,none
is_day_after_thanksgiving,1.690208979118424,low,2,dow_month
is_memorial_day,1.722238282802732,very_low,1,dow_month
is_memorial_day_weekend,1.6099188998043477,medium,3,dow_month
is_labor_day,1.293185073070501,very_low,1,dow_month
is_labor_day_weekend,1.1070566882123067,medium,3,dow_month
is_independence_day,0.858302266400089,very_low,1,dow_month
is_christmas_eve,1.2901894970661374,low,2,dow_month
is_day_after_christmas,1.8417691969680325,low,2,dow_month
is_year_end_week,1.657025115489987,high,12,dow_month
