month,baseline_year,forecast_year,baseline_year_month_total,target_year_month_total,forecast_nonspike_total_before,forecast_nonspike_total_after,forecast_spike_total,achieved_month_total_after,month_scale
1,2025,2026,64322.71,70754.981,80374.84766624913,70754.98100000001,0.0,70754.98100000001,0.8803124740441818
2,2025,2026,56928.42,62621.262,62956.231682694844,62621.261999999995,0.0,62621.261999999995,0.9946793244490374
3,2025,2026,72451.22,79696.342,75190.03577852529,79696.34200000002,0.0,79696.34200000002,1.0599322260564976
4,2025,2026,77143.73,84858.103,86580.67921365963,84858.103,0.0,84858.103,0.9801043809161079
5,2025,2026,84586.04000000001,93044.64400000001,84699.20367486068,77965.71673046131,15078.927269538699,93044.64400000001,0.9205011776704825
6,2025,2026,87623.51,96385.861,94450.9699408111,96385.86100000002,0.0,96385.86100000002,1.0204856663769726
7,2025,2026,114983.98,126482.37800000001,103338.63747073605,122678.69431381527,3803.6836861847055,126482.37799999998,1.1871522338249916
8,2025,2026,99502.11,109452.32100000001,101874.24012243006,109452.32100000003,0.0,109452.32100000003,1.0743866248078298
9,2025,2026,73643.66,81008.02600000001,76752.3226059088,69763.27705979187,11244.748940208128,81008.026,0.9089402729608227
10,2025,2026,74914.91,82406.40100000001,90063.14616311611,82406.40100000001,0.0,82406.40100000001,0.9149847025191777
11,2025,2026,73022.99,80325.28900000002,80583.64680025418,73618.97344326555,6706.315556734471,80325.28900000002,0.9135721249467372
12,2025,2026,90099.15000000001,99109.06500000002,66440.75592474533,61812.48950645398,37296.575493546035,99109.06500000002,0.9303399494199976
