ds,p50,adjustment_multiplier,adjustment_log
2026-05-23,5369.331396380256,1.304959449902174,is_memorial_day_weekend=1.305
2026-05-24,4502.646291749595,1.304959449902174,is_memorial_day_weekend=1.305
2026-05-25,5206.949581408849,1.3611191414013661,"max(is_memorial_day,is_memorial_day_weekend)=1.361"
2026-07-04,3803.6836861847055,0.9291511332000445,is_independence_day=0.929
2026-09-05,4118.277478393737,1.0535283441061534,is_labor_day_weekend=1.054
2026-09-06,3278.510095409333,1.0535283441061534,is_labor_day_weekend=1.054
2026-09-07,3847.961366405058,1.1465925365352505,"max(is_labor_day,is_labor_day_weekend)=1.147"
2026-11-26,2593.8882573125456,1.0,is_thanksgiving_day=1.000
2026-11-27,6706.315556734471,1.345104489559212,"max(is_black_friday,is_day_after_thanksgiving)=1.345"
2026-12-24,3144.538267613385,1.1450947485330687,is_christmas_eve=1.145
2026-12-26,6775.631020765771,1.4208845984840162,"max(is_day_after_christmas,is_year_end_week)=1.421"
2026-12-27,5472.420200232983,1.3285125577449937,is_year_end_week=1.329
2026-12-28,6290.161876343314,1.3285125577449937,is_year_end_week=1.329
2026-12-29,5741.309379921388,1.3285125577449937,is_year_end_week=1.329
2026-12-30,5279.97982874784,1.3285125577449937,is_year_end_week=1.329
2026-12-31,4592.534919921352,1.3285125577449937,is_year_end_week=1.329
